Sampling_Site,Location,Region,Material_Identified,Pearson's_r
Station 1,Texas City,Texas City,Silica gel,0.56
Station 2a,San Leon,San Leon,PET,0.53
Station 2b,San Leon,San Leon,Quartz sand,0.55
Station 3a,South of Island,Seabrook,ethylene propylene,0.86
Station 3b,South of Island,Seabrook,Polyethylene,0.55
Station 3c,South of Island,Seabrook,Animal fibre,0.51
Station 4a,South of Island,Seabrook,Animal fibre,0.52
Station 4b,Midpoint,El Jardin,Silicone,0.61
Station 4c,Midpoint,El Jardin,Animal fibre,0.64
Station 5a,Morgan’s Point,NA,Polyamide,0.54
Station 5c,Morgan’s Point,NA,Polyamide,0.53
Station 6a,Upper San Jacinto Bay,NA,Polypropylene,0.71
Station 6b,Upper San Jacinto Bay,NA,Polyamide,0.55
Station 6c,Upper San Jacinto Bay,NA,Polyamide,0.55
