Season,Region,Site_ID,Sample_type,Sample_ID,Filter_no,Filter_ID,MP_category,MP_color,Length_mm
Spring2021,Xbay,Xbay3,waterblank,Xbay3_waterblank,1,Xbay3_waterblank_1,fiber,black,0.615
Spring2021,Xbay,Xbay3,waterblank,Xbay3_waterblank,1,Xbay3_waterblank_1,fragment,clear,0.563
Spring2021,Xbay,Xbay3,water,Xbay3_water3,6,Xbay3_water3_6,fiber,blue,0.239
Spring2021,Xbay,Xbay3,water,Xbay3_water3,2,Xbay3_water3_2,fiber,clear,0.316
Spring2021,Xbay,Xbay3,water,Xbay3_water2,7,Xbay3_water2_7,fiber,black,2.194
Spring2021,Xbay,Xbay3,water,Xbay3_water2,5,Xbay3_water2_5,fiber,red,1.308
Spring2021,Xbay,Xbay3,water,Xbay3_water2,3,Xbay3_water2_3,fiber,clear,0.285
Spring2021,Xbay,Xbay3,water,Xbay3_water1,6,Xbay3_water1_6,fiber,black,2.497
Spring2021,Xbay,Xbay3,water,Xbay3_water1,1,Xbay3_water1_1,fiber,black,3.291
Spring2021,Xbay,Xbay2,waterblank,Xbay2_waterblank,1,Xbay2_waterblank_1,fiber,clear,0.441
Spring2021,Xbay,Xbay2,waterblank,Xbay2_waterblank,1,Xbay2_waterblank_1,fragment,blue,0.702
Spring2021,Xbay,Xbay2,waterblank,Xbay2_waterblank,1,Xbay2_waterblank_1,fragment,yellow,0.109
Spring2021,Xbay,Xbay2,waterblank,Xbay2_waterblank,1,Xbay2_waterblank_1,fragment,red,0.127
Spring2021,Xbay,Xbay2,waterblank,Xbay2_waterblank,1,Xbay2_waterblank_1,fiber,clear,0.559
Spring2021,Xbay,Xbay2,waterblank,Xbay2_waterblank,1,Xbay2_waterblank_1,fragment,clear,0.228
Spring2021,Xbay,Xbay2,water,Xbay2_water3,6,Xbay2_water3_6,fiber,blue,2.019
Spring2021,Xbay,Xbay2,water,Xbay2_water3,4,Xbay2_water3_4,fiber,black,0.749
