Site_ID,Sample_type,MP_category,MP_color,No_particles
Ebay2,water,fiber,black,2
Ebay2,water,fiber,red,1
Ebay2,water,fiber,clear,1
Ebay2,water,fiber,black,2
Ebay2,water,fiber,yellow,1
Ebay2,water,fiber,clear,1
Ebay2,water,fiber,clear,8
Ebay2,water,fiber,red,9
Ebay2,water,fiber,black,2
Ebay2,water,fragment,clear,3
Ebay2,water,fragment,red,3
Ebay2,water,fiber,red,5
Ebay2,water,fragment,clear,1
Ebay2,water,fragment,red,4
Ebay2,water,fragment,pink,1
Ebay2,water,fiber,black,3
Ebay2,water,fiber,blue,2
Ebay2,water,fiber,clear,5
Ebay2,water,fiber,blue,1
Ebay2,water,fiber,red,1
Ebay2,water,fiber,red,1
Ebay2,water,fragment,red,1
Ebay2,water,fiber,brown,1
Ebay2,water,fiber,blue,1
Ebay2,water,fragment,pink,3
Ebay2,water,fiber,clear,12
Ebay2,water,fiber,black,1
Ebay2,water,fiber,red,1
Ebay2,water,fragment,red,1
Ebay2,water,fiber,clear,1
Ebay2,water,fragment,pink,13
Ebay2,water,fiber,red,1
Ebay2,water,fiber,grey,2
Ebay2,water,fragment,blue,2
Ebay2,water,fiber,black,3
Ebay2,water,fiber,clear,6
Ebay2,water,fiber,blue,1
Ebay2,water,fragment,pink,6
Ebay2,water,fiber,blue,1
Ebay2,water,fragment,pink,2
Ebay2,water,fragment,clear,1
Ebay2,water,fiber,grey,1
Ebay2,water,fiber,red,1
Ebay2,water,fiber,red,1
Ebay2,water,fragment,pink,5
Ebay2,water,fiber,grey,2
Ebay2,water,fragment,red,1
Ebay2,water,fiber,red,1
Ebay2,water,fragment,pink,6
Ebay2,water,fragment,grey,1
Ebay2,water,fragment,blue,3
Ebay2,water,fragment,pink,1
Ebay2,water,fiber,red,1
Ebay2,water,fiber,grey,1
Ebay2,water,fiber,black,1
Ebay2,water,fiber,grey,1
Ebay2,water,fiber,red,2
Ebay2,water,fiber,red,3
Ebay2,water,fiber,clear,7
Ebay2,water,fragment,pink,2
Ebay2,water,fiber,red,1
Ebay2,water,fiber,black,1
Ebay2,water,fiber,black,1
Ebay2,water,fiber,blue,1
Ebay2,water,fiber,red,1
Ebay2,water,fragment,pink,3
Ebay2,water,fiber,black,1
