Location,hydro_id,year_,month_,day_,lat_dd,lon_dd,depth,salinity,temp,DO,turbidity
Dickinson,2.10E+13,2019,7,16,29.46583,-94.8242,2.7,20.3,29.5,6.4,12
Dickinson,2.10E+13,2019,3,21,29.445,-94.8992,2.2,11.7,16.9,10.7,7
Dickinson,2.10E+13,2017,2,2,29.445,-94.8997,2.4,22.4,16.8,9.1,6
Dickinson,2.10E+13,2019,4,25,29.4825,-94.8464,2.8,13.7,22.4,7.5,18
Dickinson,2.10E+13,2018,4,5,29.46583,-94.8242,2.9,8,21.7,9.4,27
Dickinson,2.10E+13,2018,8,22,29.4825,-94.8506,2.6,30.7,30.5,5.1,4
Dickinson,2.10E+13,2018,6,28,29.46194,-94.8714,2.8,22.9,30.1,5.4,7
Dickinson,2.10E+13,2015,12,16,29.4825,-94.845,3.9,10.9,18.4,10.4,32
Dickinson,2.10E+13,2018,3,21,29.4825,-94.8506,2.6,14.2,19.4,8.7,11
Dickinson,2.10E+13,2018,6,28,29.48278,-94.8506,2.9,22.5,30.1,5.8,8
Kemah,2.10E+13,2017,3,8,29.60889,-94.9742,3.3,11.2,19.1,7.3,6
Kemah,2.10E+13,2016,6,20,29.56278,-94.9717,3.7,3.8,29.5,5.9,9
Kemah,2.10E+13,2020,3,3,29.61028,-94.9756,2.9,11.9,16.3,11.9,6
Kemah,2.10E+13,2018,11,27,29.56222,-94.9719,3.1,11.3,13,10.3,5
Kemah,2.10E+13,2019,10,3,29.56278,-94.9711,3.5,4.6,28.8,7,14
Kemah,2.10E+13,2019,2,5,29.55472,-94.9186,3,10.5,13.6,8.2,5
Kemah,2.10E+13,2016,7,14,29.60917,-94.9714,3.4,7.1,30.2,5.8,7
Kemah,2.10E+13,2019,3,6,29.605,-94.9536,3.4,12.3,12.3,9.9,17
Kemah,2.10E+13,2019,12,18,29.61306,-94.9658,3,20.7,13.9,8.2,21
Kemah,2.10E+13,2016,8,9,29.60917,-94.9706,3.3,17.5,32,3.4,19
Kemah,2.10E+13,2018,2,23,29.61028,-94.9714,2.9,12.2,19,9.1,6
Kemah,2.10E+13,2016,3,3,29.55611,-94.9186,3.8,17.3,18.2,9.6,13
Kemah,2.10E+13,2019,10,3,29.60472,-94.9539,3.5,5,28.7,5.5,5
Trinity ,2.10E+13,2020,1,23,29.6025,-94.8478,2.9,16.5,13.2,9.5,9
Trinity ,2.10E+13,2015,11,4,29.61167,-94.8744,3.4,9.7,22.7,6.9,7
Trinity ,2.10E+13,2015,2,18,29.60333,-94.8481,2.8,14.9,12.6,8,13
Trinity ,2.10E+13,2019,1,4,29.60333,-94.8478,2.2,2.9,11.8,9.4,40
Trinity ,2.10E+13,2016,1,4,29.66944,-94.8547,2.5,6,13.2,7.6,8
Trinity ,2.10E+13,2015,12,16,29.65333,-94.8797,3,7.4,18.5,9.6,29
East Bay,2.10E+13,2016,8,24,29.52139,-94.6825,2,8.6,31.5,7.1,17
East Bay,2.10E+13,2016,4,11,29.52167,-94.6825,2.6,4.8,22.4,7.1,49
East Bay,2.10E+13,2015,3,2,29.48139,-94.7086,2.5,15.1,11.1,9.9,7
East Bay,2.10E+13,2016,6,6,29.51722,-94.6644,2.8,4.7,26.3,6.4,14
East Bay,2.10E+13,2016,2,22,29.48806,-94.6633,1.9,12.7,20.3,6.4,6
West Bay,2.10E+13,2019,8,13,29.26333,-94.9131,0.7,25.1,32.4,5,10
West Bay,2.10E+13,2018,9,7,29.26389,-94.9339,1.7,29.9,29.5,5.5,5
West Bay,2.10E+13,2016,4,25,29.26472,-94.9339,1.3,11.5,25,7.4,27
West Bay,2.10E+13,2018,11,27,29.28,-94.9367,1.4,13.2,13.4,11.5,15
West Bay,2.10E+13,2017,6,26,29.27972,-94.9464,1.8,23,29,6,23
